# time cosTheta cosPsi phi tag mistag
0.511064 -0.571966 -0.703002 -2.08657 1 0
2.5872 -0.467474 -0.0388319 -2.93219 -1 0
1.42171 -0.389195 -0.849259 2.43134 -1 0
0.747875 0.575427 -0.210543 -2.17654 -1 0
0.287401 0.0555274 0.946316 -1.46196 1 0
0.861869 0.82198 -0.812221 -1.2527 1 0
0.83575 -0.936097 -0.896471 -0.465675 -1 0
2.39832 0.908464 0.96468 -1.3028 -1 0
1.85181 0.724534 0.619904 -1.41608 -1 0
0.0688611 0.874764 -0.83362 -1.68988 -1 0
1.83419 -0.996948 0.992513 -2.35312 -1 0
0.240447 0.133385 -0.332678 -2.33903 1 0
4.81246 0.618928 0.523074 -2.06266 -1 0
0.311452 0.240544 0.702144 0.940319 1 0
2.07562 -0.188735 -0.0806733 -1.77619 1 0
0.0807123 -0.371817 0.85518 1.56967 -1 0
2.5069 -0.809368 0.325489 0.164058 -1 0
0.84943 0.307797 -0.449139 -1.25991 1 0
1.39226 0.945016 -0.940354 -1.52993 -1 0
2.383 -0.348467 -0.945119 -2.53566 -1 0
2.648 0.0461692 -0.898185 -2.70492 1 0
0.0180126 -0.725471 -0.968813 -1.8933 -1 0
4.92466 -0.306443 0.88709 -1.92855 -1 0
0.172933 0.4503 0.238301 0.616023 -1 0
0.487937 -0.941655 0.410139 1.10429 1 0
0.854509 0.95625 0.89365 2.78616 -1 0
0.373771 -0.683403 -0.911176 2.65275 1 0
2.56976 -0.666214 0.654982 0.360924 -1 0
1.53611 -0.027683 0.215275 -2.60635 1 0
0.413328 -0.998699 0.941158 2.86461 1 0
0.278041 0.56825 0.914239 2.13108 -1 0
0.367551 -0.93624 0.827991 0.397484 1 0
1.11122 0.975069 0.329313 -0.148869 1 0
0.0935979 -0.17987 0.933089 1.05727 -1 0
0.124902 0.288796 0.839875 -0.341077 -1 0
0.922794 -0.610047 -0.0335796 -2.38485 -1 0
1.25323 0.922483 0.326508 -1.99668 1 0
5.43224 -0.393476 -0.756469 -3.07107 1 0
4.47591 0.15321 -0.85283 -1.22603 -1 0
0.667387 -0.0801892 -0.823343 -1.05653 1 0
1.02941 -0.908467 -0.799565 -2.45954 -1 0
1.86754 0.950156 -0.493041 2.91033 1 0
2.34699 0.558512 0.503837 2.52024 -1 0
0.00259926 0.0483371 0.738802 -1.85969 -1 0
1.14719 0.270107 -0.574928 1.30038 1 0
0.242098 -0.503795 0.764945 -1.66207 1 0
1.79677 -0.641363 0.473952 2.34284 1 0
2.66106 -0.601606 -0.680355 1.9324 -1 0
1.97053 -0.335066 0.935127 2.73668 -1 0
0.346829 0.76966 0.732761 -0.580892 1 0
0.964034 0.365542 0.753124 -0.881493 -1 0
0.720561 0.616043 -0.00924217 -1.54803 1 0
